bid,title,author,category,status,content,search_index
1,Steve Jobs,Walter Issacson,Biography,issued,Steve Jobs Walter Issacson Biography,
2,Discovery of India,Jawaharlal Nehru,History,available,Discovery of India Jawaharlal Nehru History,
3,My Experiments with Truth,Mahatma Gandhi,Autobiography,available,My Experiments with Truth Mahatma Gandhi Autobiography,
4,Object Oriented Programming with C++,E Balagurusamy,Education,issued,Object Oriented Programming with C++ E Balagurusamy Education,
5,Thinking with type,Ellen Lupton,Arts,issued,Thinking with type Ellen Lupton Arts,
6,The Photographer's,Lindsay Adler,Photography,available,The Photographer's Lindsay Adler Photography,
7,Think and Grow,Napoleon Hill,Economics,issued,Think and Grow Napoleon Hill Economics,
8,The Fifth Discipline : The Art,Peter M.Senge,Management,issued,The Fifth Discipline : The Art Peter M.Senge Management,
9,A Theory of Justice,John Rawls,Law,issued,A Theory of Justice John Rawls Law,
10,Eat to Live,Joel Fuhrman,Health,issued,Eat to Live Joel Fuhrman Health,
11,City of Heavenly Fire,Cassandra Clare,Fiction,issued,City of Heavenly Fire Cassandra Clare Fiction,
12,Da Vinci Code,Dan Brown,Fiction,available,Da Vinci Code Dan Brown Fiction,
13,War and Peace,Leo Tolstoy,Philosophical fiction,issued,War and Peace Leo Tolstoy Philosophical fiction,
14,Python For All,John Shovic,Education,available,Python For All John Shovic Education,
15,Automate The Boring Stuff With Python,Al Sweigart,Education,issued,Automate The Boring Stuff With Python Al Sweigart Education,
16,Wings Of Fire,APJ Abdul Kalam,Autobiography,available,Wings Of Fire APJ Abdul Kalam Autobiography,
17,Ikigai,Hector Garcia,Personal Development,available,Ikigai Hector Garcia Personal Development,
18,Who Will Cry When You Will Die,Robin Sharma,Personal Development,available,Who Will Cry When You Will Die Robin Sharma Personal Development,
19,Rich Dad Poor Dad,Robert T. Kiyosaki,Business,available,Rich Dad Poor Dad Robert T. Kiyosaki Business,
20,Immortals of Meluha,Amish Tirpathi,High Fantasy,issued,Immortals of Meluha Amish Tirpathi High Fantasy,
21,A Brief History Of Time,Stephen Hawking,SPACE,issued,A Brief History Of Time Stephen Hawking SPACE,
22,I Know Why The Cage Bird Sings,Maya Anguelo,Story,available,I Know Why The Cage Bird Sings Maya Anguelo Story,
23,Lord Of Files,William Golding,Fiction,issued,Lord Of Files William Golding Fiction,
24,Loara Dune,R. D Blackmore,Fiction,issued,Loara Dune R. D Blackmore Fiction,
25,Jamacia Inn,Daphne,Fiction,available,Jamacia Inn Daphne Fiction,
26,Kidnapped,Robert Louis,Fiction,available,Kidnapped Robert Louis Fiction,
27,Treasure Island,Robert Louis,Fiction,available,Treasure Island Robert Louis Fiction,
28,The Call Of Wild,Jack London,Fiction,available,The Call Of Wild Jack London Fiction,
29,Charlottes Web,E. B White,Fiction,available,Charlottes Web E. B White Fiction,
30,The Wind In Willows,Kenneth Grahame,Fiction,available,The Wind In Willows Kenneth Grahame Fiction,
31,Being and Time,Martin Heldegger,Philosophy,available,Being and Time Martin Heldegger Philosophy,
32,The Republic,Rocha Pereia,Philosophy,issued,The Republic Rocha Pereia Philosophy,
33,Critique For Pure Reason,Paul Guyer,Philosophy,available,Critique For Pure Reason Paul Guyer Philosophy,
34,The Prince,Rufus Godwin,Philosophy,available,The Prince Rufus Godwin Philosophy,
35,Ethics,Stuart Hampshire,Philosophy,available,Ethics Stuart Hampshire Philosophy,
36,Long Walk To Freedom,Nelson Mandela,Autobiography,available,Long Walk To Freedom Nelson Mandela Autobiography,
37,The Dairy Of Young Girl,Anne Frank,Autobiography,available,The Dairy Of Young Girl Anne Frank Autobiography,
38,Mark Twain,Mark Twain,Autobiography,available,Mark Twain Mark Twain Autobiography,
39,Mein Kampf,Adolf Hitler,Autobiography,available,Mein Kampf Adolf Hitler Autobiography,
40,Freakonomics,Steveb D.Levit,Economics,issued,Freakonomics Steveb D.Levit Economics,
41,Thinking Fast and Slow,Daniel Kahneman,Economics,issued,Thinking Fast and Slow Daniel Kahneman Economics,
42,Tell You About Capitalism,HA-Joon Chang,Economics,available,Tell You About Capitalism HA-Joon Chang Economics,
43,Animal Spirits,Akerlof and Shiller,Economics,available,Animal Spirits Akerlof and Shiller Economics,
44,The Black Swan,Nassim Nicholas Taleb,Economics,issued,The Black Swan Nassim Nicholas Taleb Economics,
45,1984,George Orwell,Story,available,1984 George Orwell Story,
